Star,,Gas1,,Gas2,,Gas3,,2Halo,,Total,,r200,,DMO,,DMB1,,DMB2,,DMB3,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.007084064159304512,29215173218279770,0.0067248657031771675,1816599788375321,0.006467470601655739,42621588290153.25,0.006552155273066417,557226479550.7162,0.006383880454607359,9878909222500.3,0.014116190614769623,35502958947307252,0.7462448653723031,20025681.360431127,0.007176822469706313,3530233455925.503,0.006301370685517216,5309250387572.335,0.006383880454607365,5245906754825.479,0.006383880454607365,5121477694389.304
0.00765915380843173,24040991835099644,0.00765915380843173,1816599788375321,0.006992504722664032,42621588290153.25,0.007365998709266237,557226479550.7162,0.008068255840302895,9878909222500.3,0.016287874214985516,32205979187210696,,,0.0076591538084317375,3681693820573.2793,0.006902128664695668,5438241486775.918,0.0067248657031771745,5277483535855.454,0.006992504722664039,5373358886337.018
0.008610497571522947,17092446641215392,0.008837464527748522,1647901378100333.5,0.007861043979437935,40594351554130.45,0.008837464527748522,530722774856.756,0.00968000777678382,9878909222500.3,0.018074327484369483,22897515400416950,,,0.008173901097433019,3956612441509.92,0.007759442308140547,5637627935587.398,0.007176822469706313,5309250387572.335,0.007759442308140547,5537037305844.922
0.00968000777678382,13396277245180142,0.010197050644580971,1569521234491300,0.008837464527748522,40594351554130.45,0.010330570212953395,530722774856.756,0.01207593881589797,9878909222500.3,0.020056718863390666,18842228888140396,,,0.00883746452774854,4176191403565.926,0.008068255840302904,5809356280890.557,0.0076591538084317375,5537037305844.922,0.008610497571522956,5774597144275.423
0.011024854874674262,9999999999999960,0.01191986087391092,1569521234491300,0.010065256777188345,40594351554130.45,0.012234060433078264,458538347354.3181,0.0139337430209685,9878909222500.3,0.023142313881085674,15505157798326222,,,0.009309504231522495,4381582138682.1357,0.00883746452774854,6058599633110.123,0.008610497571522956,5774597144275.423,0.009554896535724045,6058599633110.123
0.012556542082449947,7837542235104804,0.014301027166400221,1494869133709231.5,0.011463626662674243,36824559981353.445,0.014870185430283773,458538347354.3181,0.01693610584916738,9878909222500.3,0.026357484196970298,12152232910634588,,,0.009806757216915785,4737106204149.874,0.009680007776783829,6280730751883.322,0.009554896535724045,6022349198094.412,0.010197050644580978,6205796576041.794
0.014488283956730543,5054796821191225,0.016501146661175123,1423767756567403,0.012887524132383685,36824559981353.445,0.018074327484369483,505479682119.1225,0.018793657133363922,9878909222500.3,0.030810629030381002,9999999999999960,,,0.010882361882139422,4999999999999.979,0.010741710569440935,6511006035466.122,0.010197050644580978,6205796576041.794,0.012075938815897982,6511006035466.122
0.01693610584916738,3773284718342101,0.018550754666524324,1356048217820303,0.014301027166400221,36824559981353.445,0.019797491696796392,505479682119.1225,0.022547964616642824,8129295492563.386,0.03509116123564062,8639884494839654,,,0.011765800193218948,5405702842278.145,0.012075938815897982,6913712263456.893,0.011765800193218948,6394831962815.767,0.01375365350842261,6831226108432.295
0.018310991642315724,2682695795279716.5,0.021684938364853072,1230118896421939.2,0.016077358252162638,35073050857060.316,0.023445337948361802,505479682119.1225,0.027406470383160582,8535263461740.915,0.039966389379830845,6771545963473292,,,0.012556542082449959,5705701549970.036,0.013400427210994598,7081684628544.111,0.012394252485211976,6669194435734.83,0.016077358252162655,7081684628544.111
0.020319340334926654,1816599788375321,0.025021024303602816,1115883992507748,0.0173825302704009,35073050857060.316,0.028128886609642634,505479682119.1225,0.032881313098424306,8129295492563.386,0.04611495698880099,6142706828705160,,,0.013400427210994598,5950497722268.303,0.014301027166400235,7341325902864.453,0.01411619061476963,6872345430805.647,0.018310991642315734,7297400528407.201
0.02140466694217524,1423767756567403,0.029248371810351587,964110880490750.1,0.018074327484369483,35073050857060.316,0.034189937357336275,505479682119.1225,0.03843667067526155,7374369044246.707,0.04857811715970676,4814372420784338,,,0.01411619061476963,6280730751883.322,0.015262153571217197,7564950761410.32,0.015461995292935578,7081684628544.111,0.021404666942175264,7610486605804.784
